epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,122.293,0.91952,3.7893,0.52546,0.83707,0.90457,0.49647,0.67374,0.54109,0.89888,0.49047,0.64393,0.36467,0.79354,5.11967,1.00069,0.8171,0.000898484,0.000898484,0.000898484
77,123.899,0.98429,4.1132,0.52785,0.84005,0.90457,0.49647,0.67374,0.54109,0.89888,0.49047,0.64393,0.36467,0.79354,5.11967,1.00069,0.8171,0.00089141,0.00089141,0.00089141
78,125.487,0.95632,3.95722,0.51709,0.85138,0.97392,0.5014,0.63507,0.50693,0.97392,0.5014,0.5956,0.32988,0.75758,5.03332,0.64912,0.81032,0.000884337,0.000884337,0.000884337
79,127.091,1.03009,3.85396,0.53146,0.85405,0.97563,0.5014,0.62226,0.4987,0.97563,0.5014,0.58741,0.33703,0.72989,4.92954,0.57101,0.80724,0.000877263,0.000877263,0.000877263
80,128.686,0.93133,3.8478,0.49392,0.83978,0.9834,0.5014,0.60194,0.48354,0.9834,0.5014,0.5696,0.30884,0.70074,4.99524,0.49718,0.80419,0.00087019,0.00087019,0.00087019
81,130.314,0.90143,3.82604,0.49817,0.83567,0.9834,0.5014,0.60194,0.48354,0.9834,0.5014,0.5696,0.30884,0.70074,4.99524,0.49718,0.80419,0.000863116,0.000863116,0.000863116
82,131.904,0.89721,4.12268,0.4936,0.82944,0.98669,0.50156,0.5876,0.46307,0.98653,0.5014,0.54311,0.28258,0.71337,4.94441,0.48325,0.80204,0.000856042,0.000856042,0.000856042
83,133.475,0.89786,3.93237,0.48586,0.83683,0.98256,0.5014,0.57743,0.45599,0.96753,0.49307,0.52726,0.27364,0.72995,4.84284,0.50824,0.79713,0.000848969,0.000848969,0.000848969
84,135.059,0.96348,3.72861,0.50818,0.83734,0.98275,0.5014,0.55251,0.43962,0.96744,0.49307,0.51377,0.28451,0.72362,4.62214,0.47619,0.79665,0.000841895,0.000841895,0.000841895
85,136.645,1.01338,3.69635,0.51918,0.84351,0.98275,0.5014,0.55251,0.43962,0.96744,0.49307,0.51377,0.28451,0.72362,4.62214,0.47619,0.79665,0.000834822,0.000834822,0.000834822
86,138.206,0.97922,3.96277,0.50658,0.8445,0.984,0.51261,0.61546,0.46605,0.98212,0.5014,0.54965,0.3157,0.72307,4.53432,0.42511,0.79307,0.000827748,0.000827748,0.000827748
87,139.776,0.94695,3.72292,0.51526,0.84797,0.88875,0.54881,0.67157,0.49295,0.95389,0.4958,0.57123,0.3338,0.71034,5.09714,0.44046,0.79091,0.000820675,0.000820675,0.000820675
88,141.342,0.91203,3.66288,0.50205,0.83696,0.96395,0.5152,0.64314,0.48661,0.97232,0.50153,0.58086,0.33013,0.73026,5.13146,0.43604,0.79127,0.000813601,0.000813601,0.000813601
89,142.917,0.87861,3.87057,0.49095,0.83146,0.96395,0.5152,0.64314,0.48661,0.97232,0.50153,0.58086,0.33013,0.73026,5.13146,0.43604,0.79127,0.000806528,0.000806528,0.000806528
90,144.514,0.92684,3.82003,0.4946,0.84391,0.97441,0.5098,0.60384,0.4722,0.99161,0.5014,0.56488,0.32702,0.75362,5.11359,0.4443,0.79659,0.000799454,0.000799454,0.000799454
91,146.122,0.92921,3.97223,0.49671,0.83322,0.97398,0.51536,0.61192,0.49215,0.8984,0.45418,0.4852,0.24634,0.70622,5.05056,0.41569,0.79102,0.00079238,0.00079238,0.00079238
92,147.63,0.86951,4.14391,0.47627,0.83699,0.99689,0.5042,0.61956,0.49282,0.46811,0.23742,0.22054,0.08729,0.72881,5.25983,0.42628,0.79418,0.000785307,0.000785307,0.000785307
93,149.242,0.95425,3.92737,0.49401,0.83474,0.99689,0.5042,0.61956,0.49282,0.46811,0.23742,0.22054,0.08729,0.72881,5.25983,0.42628,0.79418,0.000778233,0.000778233,0.000778233
94,150.829,0.9896,3.93219,0.50964,0.83693,0.99635,0.5014,0.62831,0.49752,0.22127,0.11197,0.11652,0.0303,0.71844,5.38291,0.41572,0.79198,0.00077116,0.00077116,0.00077116
95,152.428,0.94044,3.76412,0.49959,0.83399,0.96816,0.51541,0.63393,0.49187,0.48763,0.24568,0.21226,0.08308,0.69608,5.19571,0.41114,0.78702,0.000764086,0.000764086,0.000764086
96,153.961,0.93541,3.7111,0.51371,0.84776,0.95803,0.51818,0.64551,0.4864,0.8361,0.42133,0.43078,0.19784,0.73696,4.93124,0.43644,0.78914,0.000757013,0.000757013,0.000757013
97,155.589,0.94177,3.77467,0.49971,0.82803,0.95803,0.51818,0.64551,0.4864,0.8361,0.42133,0.43078,0.19784,0.73696,4.93124,0.43644,0.78914,0.000749939,0.000749939,0.000749939
98,157.186,0.93552,3.56101,0.50102,0.82554,0.98073,0.52219,0.64712,0.49181,0.95605,0.48246,0.53119,0.26964,0.70489,4.73643,0.43184,0.7864,0.000742866,0.000742866,0.000742866
99,158.775,0.96715,3.56818,0.50971,0.84062,0.98839,0.52068,0.64512,0.49196,0.97885,0.49582,0.54865,0.30142,0.69336,4.69708,0.42013,0.78414,0.000735792,0.000735792,0.000735792
100,160.311,0.90497,3.78341,0.4771,0.82615,0.96985,0.50767,0.64072,0.49156,0.98688,0.5014,0.56001,0.31858,0.714,4.74952,0.41165,0.78874,0.000728719,0.000728719,0.000728719
101,161.874,0.94381,3.86987,0.49156,0.82599,0.96985,0.50767,0.64072,0.49156,0.98688,0.5014,0.56001,0.31858,0.714,4.74952,0.41165,0.78874,0.000721645,0.000721645,0.000721645
102,163.44,0.92806,3.97084,0.48076,0.83298,0.99031,0.50451,0.63933,0.48519,0.99414,0.5014,0.56704,0.31077,0.76527,4.72727,0.42921,0.79882,0.000714571,0.000714571,0.000714571
103,165.013,0.95283,3.82656,0.49085,0.83347,0.99273,0.50377,0.62017,0.48917,0.99636,0.5014,0.56544,0.30659,0.7188,4.72499,0.41077,0.79179,0.000707498,0.000707498,0.000707498
104,166.622,0.93962,3.76831,0.49742,0.83389,0.97552,0.51029,0.65247,0.50406,0.99633,0.5014,0.57355,0.31925,0.68844,4.83485,0.42131,0.78724,0.000700424,0.000700424,0.000700424
105,168.188,0.87652,3.97201,0.47019,0.81992,0.97552,0.51029,0.65247,0.50406,0.99633,0.5014,0.57355,0.31925,0.68844,4.83485,0.42131,0.78724,0.000693351,0.000693351,0.000693351
106,169.827,0.93634,3.92831,0.48352,0.82933,0.99704,0.50194,0.66174,0.506,0.99617,0.5014,0.57028,0.32675,0.69367,5.01567,0.42842,0.7881,0.000686277,0.000686277,0.000686277
107,171.424,0.90964,3.58635,0.47705,0.82846,0.99759,0.50191,0.64154,0.49178,0.99668,0.5014,0.56807,0.32013,0.73188,5.08768,0.42836,0.79169,0.000679204,0.000679204,0.000679204
108,172.977,0.86475,3.93275,0.46815,0.8303,0.99711,0.5014,0.63422,0.48342,0.98598,0.49582,0.55812,0.27727,0.76596,5.05917,0.43092,0.79599,0.00067213,0.00067213,0.00067213
109,174.596,0.92679,3.80275,0.47837,0.82323,0.99711,0.5014,0.63422,0.48342,0.98598,0.49582,0.55812,0.27727,0.76596,5.05917,0.43092,0.79599,0.000665057,0.000665057,0.000665057
110,176.197,0.93083,3.54798,0.48844,0.83366,0.99661,0.5014,0.62169,0.48377,0.88044,0.44304,0.47421,0.20865,0.74383,5.05583,0.4258,0.79525,0.000657983,0.000657983,0.000657983
111,177.769,0.92983,3.87498,0.48712,0.82866,0.99637,0.5014,0.6032,0.47515,0.83617,0.42085,0.43716,0.19245,0.72273,5.05583,0.42338,0.79314,0.000650909,0.000650909,0.000650909
112,179.33,0.93835,3.51754,0.49124,0.83678,0.99123,0.50341,0.60496,0.48644,0.91899,0.46251,0.50755,0.26355,0.69352,5.03958,0.40965,0.79183,0.000643836,0.000643836,0.000643836
113,180.938,0.8708,4.21836,0.46942,0.81715,0.99123,0.50341,0.60496,0.48644,0.91899,0.46251,0.50755,0.26355,0.69352,5.03958,0.40965,0.79183,0.000636762,0.000636762,0.000636762
114,182.534,0.91174,3.8037,0.47491,0.81867,0.9974,0.5014,0.62302,0.4976,0.96413,0.48473,0.5567,0.31028,0.68069,5.0034,0.40162,0.78975,0.000629689,0.000629689,0.000629689
115,184.117,0.89602,3.76444,0.47494,0.83417,0.98596,0.507,0.64466,0.51442,0.97595,0.49029,0.58051,0.3226,0.68823,5.10914,0.40509,0.78997,0.000622615,0.000622615,0.000622615
116,185.783,0.88758,3.72013,0.46837,0.81575,0.98102,0.50652,0.62131,0.49013,0.953,0.47918,0.55924,0.2916,0.7546,5.18771,0.41465,0.79967,0.000615542,0.000615542,0.000615542
117,187.383,0.92975,3.70639,0.47207,0.82788,0.98102,0.50652,0.62131,0.49013,0.953,0.47918,0.55924,0.2916,0.7546,5.18771,0.41465,0.79967,0.000608468,0.000608468,0.000608468
118,188.961,0.84322,3.67439,0.45224,0.8275,0.99667,0.5014,0.62326,0.48474,0.94122,0.47362,0.55591,0.27351,0.79886,5.17624,0.42011,0.80489,0.000601395,0.000601395,0.000601395
119,190.559,0.84326,3.81557,0.44171,0.83217,0.99661,0.5014,0.62109,0.49503,0.9578,0.48196,0.56751,0.27514,0.74314,5.03228,0.39934,0.79688,0.000594321,0.000594321,0.000594321
120,192.177,0.84207,3.55821,0.44608,0.82408,0.99672,0.5014,0.62798,0.51022,0.96484,0.48473,0.57254,0.29521,0.68568,4.85615,0.38335,0.78875,0.000587248,0.000587248,0.000587248
121,193.7,0.86706,3.54272,0.44808,0.83378,0.99672,0.5014,0.62798,0.51022,0.96484,0.48473,0.57254,0.29521,0.68568,4.85615,0.38335,0.78875,0.000580174,0.000580174,0.000580174
122,195.253,0.82862,3.54851,0.44149,0.81833,0.99666,0.5014,0.62893,0.50901,0.98556,0.49585,0.58441,0.33092,0.66387,4.78215,0.37772,0.78681,0.0005731,0.0005731,0.0005731
123,196.839,0.91042,3.40325,0.46363,0.82472,0.99728,0.51416,0.64551,0.51584,0.98505,0.49585,0.5881,0.33813,0.67627,4.93244,0.38685,0.7883,0.000566027,0.000566027,0.000566027
124,198.407,0.86082,3.77355,0.45105,0.83491,0.9947,0.51101,0.64423,0.51317,0.9794,0.49307,0.58829,0.33218,0.69277,4.96799,0.38661,0.78805,0.000558953,0.000558953,0.000558953
125,200.033,0.87955,3.56016,0.4642,0.82945,0.9947,0.51101,0.64423,0.51317,0.9794,0.49307,0.58829,0.33218,0.69277,4.96799,0.38661,0.78805,0.00055188,0.00055188,0.00055188
126,201.653,0.89253,3.70627,0.47619,0.83127,0.99126,0.50936,0.64623,0.52637,0.96916,0.48751,0.58894,0.33128,0.68659,4.82035,0.38372,0.78981,0.000544806,0.000544806,0.000544806
127,203.269,0.90998,3.72488,0.46573,0.82728,0.9801,0.51832,0.65155,0.53078,0.95301,0.47918,0.57717,0.33901,0.67802,4.70962,0.37495,0.79314,0.000537733,0.000537733,0.000537733
