epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,129.346,0.77473,4.05443,0.46227,0.8421,0.98992,0.50568,0.68696,0.51837,0.84721,0.44501,0.4815,0.26737,0.66154,4.41356,0.45009,0.79841,0.0009161,0.0009161,0.0009161
93,130.771,0.83623,3.99417,0.47605,0.83655,0.98992,0.50568,0.68696,0.51837,0.84721,0.44501,0.4815,0.26737,0.66154,4.41356,0.45009,0.79841,0.000907848,0.000907848,0.000907848
94,132.172,0.81023,3.92375,0.46734,0.8285,0.88942,0.5393,0.69776,0.52496,0.86649,0.45076,0.51854,0.27435,0.72028,4.50208,0.48519,0.80627,0.000899597,0.000899597,0.000899597
95,133.581,0.88524,3.92783,0.48815,0.84665,0.83511,0.57339,0.71104,0.52997,0.89775,0.47917,0.56752,0.30431,0.7103,4.20898,0.49791,0.80208,0.000891345,0.000891345,0.000891345
96,134.99,0.85492,3.96082,0.50235,0.84144,0.97135,0.51371,0.66082,0.4987,0.92852,0.46096,0.51423,0.30127,0.68964,4.27672,0.48037,0.79913,0.000883093,0.000883093,0.000883093
97,136.415,0.83069,3.97264,0.47298,0.82797,0.97135,0.51371,0.66082,0.4987,0.92852,0.46096,0.51423,0.30127,0.68964,4.27672,0.48037,0.79913,0.000874842,0.000874842,0.000874842
98,137.805,0.85929,4.06426,0.48348,0.84225,0.98648,0.50463,0.61684,0.47698,0.92564,0.47092,0.51202,0.30524,0.69533,4.50573,0.46243,0.80441,0.00086659,0.00086659,0.00086659
99,139.197,0.83954,4.18374,0.47317,0.84085,0.97285,0.49953,0.60076,0.47284,0.92657,0.46616,0.49445,0.27878,0.7048,4.8736,0.44742,0.81005,0.000858338,0.000858338,0.000858338
100,140.531,0.84271,4.32332,0.47115,0.83261,0.99184,0.48864,0.59587,0.46473,0.93214,0.45026,0.46166,0.22082,0.71432,4.76019,0.44038,0.81531,0.000850087,0.000850087,0.000850087
101,141.914,0.89518,4.37253,0.49177,0.8316,0.99184,0.48864,0.59587,0.46473,0.93214,0.45026,0.46166,0.22082,0.71432,4.76019,0.44038,0.81531,0.000841835,0.000841835,0.000841835
102,143.286,0.82109,4.23325,0.46966,0.83385,0.99496,0.48713,0.60228,0.47556,0.79495,0.38116,0.36315,0.15557,0.72453,4.57797,0.45201,0.81701,0.000833583,0.000833583,0.000833583
103,144.664,0.88518,4.33891,0.4852,0.83185,0.98704,0.49432,0.63374,0.49045,0.72478,0.34943,0.32836,0.14655,0.70587,4.48549,0.46087,0.8172,0.000825332,0.000825332,0.000825332
104,146.056,0.86441,4.20205,0.47904,0.84068,0.98544,0.49432,0.62978,0.49353,0.74079,0.37216,0.38619,0.16918,0.71457,4.32136,0.46316,0.81606,0.00081708,0.00081708,0.00081708
105,147.404,0.84982,4.17566,0.48614,0.83762,0.98544,0.49432,0.62978,0.49353,0.74079,0.37216,0.38619,0.16918,0.71457,4.32136,0.46316,0.81606,0.000808828,0.000808828,0.000808828
106,148.817,0.8126,4.18726,0.47527,0.82126,0.98506,0.49432,0.63546,0.49362,0.8593,0.43087,0.45154,0.18798,0.72156,4.22565,0.46066,0.8154,0.000800577,0.000800577,0.000800577
107,150.182,0.86219,4.03774,0.4877,0.84382,0.98394,0.49432,0.64679,0.4825,0.85295,0.42519,0.43238,0.1842,0.70979,4.04783,0.45313,0.80954,0.000792325,0.000792325,0.000792325
108,151.552,0.86362,3.84515,0.50724,0.8459,0.98333,0.48864,0.60434,0.4578,0.87489,0.43466,0.45345,0.18689,0.72481,4.1705,0.46377,0.80899,0.000784073,0.000784073,0.000784073
109,152.986,0.83242,3.82321,0.47699,0.82742,0.98333,0.48864,0.60434,0.4578,0.87489,0.43466,0.45345,0.18689,0.72481,4.1705,0.46377,0.80899,0.000775822,0.000775822,0.000775822
110,154.406,0.82518,3.82244,0.47798,0.8392,0.98662,0.49376,0.62574,0.46975,0.91385,0.43313,0.46267,0.22979,0.72941,4.31662,0.46013,0.81483,0.00076757,0.00076757,0.00076757
111,155.803,0.84726,4.03771,0.47944,0.83274,0.98682,0.4993,0.64719,0.48625,0.83289,0.4214,0.46512,0.2572,0.72015,4.49256,0.44884,0.81671,0.000759318,0.000759318,0.000759318
112,157.177,0.83045,3.80659,0.47048,0.83177,0.94864,0.49905,0.66397,0.50571,0.89577,0.42661,0.48853,0.28031,0.69163,4.54249,0.43925,0.80951,0.000751067,0.000751067,0.000751067
113,158.577,0.80161,3.76546,0.45124,0.81818,0.94864,0.49905,0.66397,0.50571,0.89577,0.42661,0.48853,0.28031,0.69163,4.54249,0.43925,0.80951,0.000742815,0.000742815,0.000742815
114,160.023,0.81369,3.9232,0.4568,0.83103,0.98327,0.49013,0.6544,0.51381,0.86409,0.42708,0.46521,0.27377,0.6593,4.60078,0.43974,0.80184,0.000734564,0.000734564,0.000734564
115,161.391,0.81773,4.03079,0.45638,0.83512,0.98405,0.49063,0.63541,0.50641,0.85052,0.41667,0.44259,0.25793,0.65208,4.60924,0.43128,0.80211,0.000726312,0.000726312,0.000726312
116,162.82,0.81273,4.19124,0.45631,0.82229,0.9833,0.49917,0.63934,0.50835,0.84937,0.43449,0.46736,0.26237,0.65479,4.58003,0.43564,0.80389,0.00071806,0.00071806,0.00071806
117,164.216,0.7903,4.00134,0.45482,0.82617,0.9833,0.49917,0.63934,0.50835,0.84937,0.43449,0.46736,0.26237,0.65479,4.58003,0.43564,0.80389,0.000709809,0.000709809,0.000709809
118,165.603,0.78723,4.01467,0.46481,0.83863,0.98565,0.49953,0.66851,0.52741,0.88284,0.44697,0.51659,0.26783,0.6557,4.46704,0.43614,0.80575,0.000701557,0.000701557,0.000701557
119,167,0.78606,3.71085,0.46692,0.83917,0.97066,0.49398,0.6619,0.5251,0.87087,0.42519,0.49174,0.25397,0.64561,4.27579,0.43498,0.80727,0.000693305,0.000693305,0.000693305
120,168.409,0.84366,3.86373,0.47251,0.83839,0.87513,0.52225,0.69663,0.53158,0.87321,0.45218,0.53066,0.27497,0.65932,4.09059,0.43342,0.80351,0.000685054,0.000685054,0.000685054
121,169.771,0.77547,3.67493,0.45921,0.84633,0.87513,0.52225,0.69663,0.53158,0.87321,0.45218,0.53066,0.27497,0.65932,4.09059,0.43342,0.80351,0.000676802,0.000676802,0.000676802
122,171.142,0.82561,3.7356,0.47426,0.83186,0.87407,0.53099,0.67974,0.52357,0.9263,0.4609,0.55074,0.28104,0.69929,4.00051,0.44799,0.808,0.00066855,0.00066855,0.00066855
123,172.541,0.80647,3.53233,0.46765,0.83824,0.97128,0.48802,0.66109,0.5113,0.94792,0.47682,0.57459,0.31444,0.73044,3.92963,0.45879,0.8137,0.000660299,0.000660299,0.000660299
124,173.919,0.79765,3.3165,0.44863,0.83439,0.96018,0.48864,0.65595,0.50384,0.88228,0.44981,0.5423,0.31358,0.74331,4.06174,0.45124,0.81776,0.000652047,0.000652047,0.000652047
125,175.29,0.80176,3.69314,0.45726,0.82541,0.96018,0.48864,0.65595,0.50384,0.88228,0.44981,0.5423,0.31358,0.74331,4.06174,0.45124,0.81776,0.000643795,0.000643795,0.000643795
126,176.704,0.82466,3.88496,0.47393,0.82659,0.95723,0.49698,0.65548,0.51201,0.93608,0.45549,0.5643,0.32963,0.73889,4.364,0.43909,0.81613,0.000635544,0.000635544,0.000635544
127,178.165,0.78374,3.84728,0.44549,0.82517,0.96157,0.5,0.6585,0.51979,0.90943,0.47301,0.55234,0.33212,0.72092,4.38065,0.43891,0.81213,0.000627292,0.000627292,0.000627292
