epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,105.912,0.62854,0.65919,0.39364,0.82744,0.9686,0.99149,0.99382,0.83925,0.9686,0.99149,0.99382,0.70971,0.6035,0.62916,0.44442,0.79176,0.000863116,0.000863116,0.000863116
82,107.274,0.63931,0.73694,0.38823,0.82496,0.96917,1,0.99431,0.85498,0.96917,1,0.99431,0.73772,0.54151,0.663,0.39753,0.7849,0.000856042,0.000856042,0.000856042
83,108.542,0.64134,0.72334,0.40303,0.8417,0.98174,0.99364,0.99369,0.83721,0.98174,0.99364,0.99369,0.72965,0.60333,0.7384,0.40355,0.79531,0.000848969,0.000848969,0.000848969
84,109.851,0.66425,0.68915,0.41423,0.83331,0.98289,0.98477,0.99369,0.83945,0.98289,0.98477,0.99369,0.7181,0.6124,0.79972,0.42337,0.79753,0.000841895,0.000841895,0.000841895
85,111.161,0.64694,0.76254,0.40121,0.81806,0.98289,0.98477,0.99369,0.83945,0.98289,0.98477,0.99369,0.7181,0.6124,0.79972,0.42337,0.79753,0.000834822,0.000834822,0.000834822
86,112.518,0.61831,0.67272,0.38543,0.84259,0.98273,0.98429,0.99464,0.85788,0.98273,0.98429,0.99464,0.71878,0.5993,0.86816,0.43699,0.79258,0.000827748,0.000827748,0.000827748
87,113.836,0.61772,0.68128,0.38665,0.83923,0.98429,0.967,0.99464,0.83411,0.98429,0.967,0.99464,0.6721,0.68221,1.00935,0.50297,0.80619,0.000820675,0.000820675,0.000820675
88,115.089,0.60652,0.68925,0.39497,0.83562,0.94943,0.99414,0.99322,0.82046,0.94943,0.99414,0.99322,0.66363,0.66174,0.87378,0.48114,0.80301,0.000813601,0.000813601,0.000813601
89,116.358,0.59334,0.71488,0.37106,0.82035,0.94943,0.99414,0.99322,0.82046,0.94943,0.99414,0.99322,0.66363,0.66174,0.87378,0.48114,0.80301,0.000806528,0.000806528,0.000806528
90,117.658,0.59987,0.688,0.37967,0.83771,0.98085,0.99067,0.99333,0.84111,0.98085,0.99067,0.99333,0.71177,0.59114,0.77033,0.41333,0.79274,0.000799454,0.000799454,0.000799454
91,118.926,0.58147,0.65692,0.3734,0.81452,0.97844,0.99813,0.99369,0.85203,0.97844,0.99813,0.99369,0.73007,0.5433,0.82406,0.37366,0.78651,0.00079238,0.00079238,0.00079238
92,120.165,0.57837,0.69267,0.37596,0.8339,0.97362,1,0.99369,0.85694,0.97362,1,0.99369,0.73636,0.54581,0.75195,0.36461,0.78547,0.000785307,0.000785307,0.000785307
93,121.484,0.58815,0.65301,0.37566,0.81518,0.97362,1,0.99369,0.85694,0.97362,1,0.99369,0.73636,0.54581,0.75195,0.36461,0.78547,0.000778233,0.000778233,0.000778233
94,122.796,0.59522,0.65348,0.37752,0.82464,0.97847,0.99769,0.99369,0.86246,0.97847,0.99769,0.99369,0.72899,0.54588,0.7023,0.3686,0.78504,0.00077116,0.00077116,0.00077116
95,124.096,0.61694,0.72414,0.38872,0.82452,0.98137,0.9615,0.99215,0.84723,0.98137,0.9615,0.99215,0.69751,0.55038,0.7963,0.38104,0.78721,0.000764086,0.000764086,0.000764086
