epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,134.695,0.59029,0.37922,0.92516,0.98533,1,0.995,0.77364,0.97491,0.38824,1.1494,0.000371375,0.000371375,0.000371375
144,135.611,0.54457,0.34262,0.90976,0.98785,1,0.995,0.76378,0.96445,0.3701,1.13103,0.000365188,0.000365188,0.000365188
145,136.532,0.57092,0.40472,0.93402,0.98785,1,0.995,0.76378,0.96445,0.3701,1.13103,0.000359,0.000359,0.000359
146,137.449,0.56923,0.37452,0.93815,0.98765,1,0.995,0.75815,0.94571,0.34313,1.10767,0.000352812,0.000352812,0.000352812
147,138.373,0.55727,0.34294,0.90171,0.98638,1,0.995,0.7761,0.9168,0.34446,1.11234,0.000346625,0.000346625,0.000346625
148,139.284,0.5655,0.37551,0.96926,0.98394,1,0.995,0.79369,0.90467,0.34447,1.11533,0.000340438,0.000340438,0.000340438
149,140.197,0.58054,0.37248,0.92833,0.98394,1,0.995,0.79369,0.90467,0.34447,1.11533,0.00033425,0.00033425,0.00033425
150,141.115,0.5852,0.3796,0.92435,0.98153,1,0.995,0.80243,0.89105,0.33814,1.10539,0.000328063,0.000328063,0.000328063
151,142.036,0.57768,0.37119,0.90422,0.98022,1,0.995,0.79261,0.87164,0.33857,1.09304,0.000321875,0.000321875,0.000321875
152,142.952,0.55116,0.37574,0.90365,0.98148,1,0.995,0.80095,0.87017,0.33356,1.08726,0.000315687,0.000315687,0.000315687
153,143.865,0.57472,0.36317,0.92517,0.98148,1,0.995,0.80095,0.87017,0.33356,1.08726,0.0003095,0.0003095,0.0003095
154,144.791,0.56651,0.3825,0.93597,0.98297,1,0.995,0.80064,0.87929,0.33201,1.08649,0.000303313,0.000303313,0.000303313
155,145.716,0.50991,0.33804,0.87556,0.98552,1,0.995,0.77712,0.8936,0.34115,1.09896,0.000297125,0.000297125,0.000297125
156,146.633,0.53495,0.34872,0.88126,0.98721,1,0.995,0.77468,0.90305,0.34617,1.10788,0.000290937,0.000290937,0.000290937
157,147.55,0.56035,0.3681,0.90811,0.98721,1,0.995,0.77468,0.90305,0.34617,1.10788,0.00028475,0.00028475,0.00028475
158,148.467,0.55835,0.35222,0.91542,0.98674,1,0.995,0.76599,0.90959,0.34081,1.11989,0.000278562,0.000278562,0.000278562
