epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,140.215,0.65128,0.7464,0.39796,0.82694,0.98444,0.98088,0.99431,0.85896,0.98444,0.98088,0.99431,0.6802,0.58171,0.66211,0.37037,0.80771,0.000799454,0.000799454,0.000799454
91,141.757,0.65562,0.71825,0.40893,0.82092,0.98535,0.98618,0.99403,0.87034,0.98535,0.98618,0.99403,0.7009,0.54362,0.64373,0.35715,0.80314,0.00079238,0.00079238,0.00079238
92,143.219,0.6333,0.70295,0.39731,0.83235,0.98956,0.98582,0.99341,0.87987,0.98956,0.98582,0.99341,0.76227,0.52398,0.58433,0.36152,0.80334,0.000785307,0.000785307,0.000785307
93,144.825,0.63635,0.71704,0.40306,0.82172,0.98956,0.98582,0.99341,0.87987,0.98956,0.98582,0.99341,0.76227,0.52398,0.58433,0.36152,0.80334,0.000778233,0.000778233,0.000778233
94,146.37,0.65863,0.76282,0.40578,0.824,0.98911,0.98582,0.99203,0.86622,0.98911,0.98582,0.99203,0.72192,0.56711,0.6148,0.37516,0.80711,0.00077116,0.00077116,0.00077116
95,147.905,0.65282,0.78097,0.41771,0.81719,0.98905,0.98582,0.99132,0.86778,0.98905,0.98582,0.99132,0.7082,0.57326,0.65846,0.37885,0.80795,0.000764086,0.000764086,0.000764086
96,149.386,0.62055,0.76208,0.39875,0.82227,0.98946,0.98582,0.991,0.86325,0.98946,0.98582,0.991,0.68628,0.59566,0.64949,0.38659,0.81119,0.000757013,0.000757013,0.000757013
97,150.915,0.63711,0.72129,0.40307,0.81038,0.98946,0.98582,0.991,0.86325,0.98946,0.98582,0.991,0.68628,0.59566,0.64949,0.38659,0.81119,0.000749939,0.000749939,0.000749939
98,152.513,0.63837,0.7018,0.39544,0.81717,0.99008,0.9854,0.98914,0.87389,0.99008,0.9854,0.98914,0.71155,0.57224,0.68638,0.37865,0.80541,0.000742866,0.000742866,0.000742866
99,154.025,0.63305,0.7369,0.39372,0.82197,0.98963,0.98582,0.98904,0.8914,0.98963,0.98582,0.98904,0.73688,0.50528,0.57413,0.35745,0.79798,0.000735792,0.000735792,0.000735792
100,155.531,0.6389,0.7252,0.39254,0.81527,0.98099,0.98582,0.98963,0.88693,0.98099,0.98582,0.98963,0.73766,0.50455,0.54345,0.35986,0.79918,0.000728719,0.000728719,0.000728719
101,157.089,0.63904,0.73388,0.38775,0.80663,0.98099,0.98582,0.98963,0.88693,0.98099,0.98582,0.98963,0.73766,0.50455,0.54345,0.35986,0.79918,0.000721645,0.000721645,0.000721645
102,158.625,0.66055,0.7388,0.38992,0.82452,0.97483,0.98582,0.98957,0.879,0.97483,0.98582,0.98957,0.69615,0.53548,0.56549,0.35678,0.8025,0.000714571,0.000714571,0.000714571
103,160.169,0.64858,0.70035,0.38986,0.81854,0.98334,0.98582,0.98946,0.87579,0.98334,0.98582,0.98946,0.7265,0.55336,0.64143,0.36741,0.8048,0.000707498,0.000707498,0.000707498
104,161.699,0.64239,0.69424,0.39695,0.82387,0.98334,0.98137,0.98864,0.851,0.98334,0.98137,0.98864,0.76079,0.61965,0.7344,0.37164,0.81155,0.000700424,0.000700424,0.000700424
105,163.221,0.58153,0.65773,0.38149,0.81428,0.98334,0.98137,0.98864,0.851,0.98334,0.98137,0.98864,0.76079,0.61965,0.7344,0.37164,0.81155,0.000693351,0.000693351,0.000693351
106,164.803,0.64792,0.69526,0.39779,0.80646,0.98132,0.98582,0.98753,0.86161,0.98132,0.98582,0.98753,0.76682,0.58732,0.6279,0.37356,0.80796,0.000686277,0.000686277,0.000686277
107,166.354,0.64224,0.74294,0.38995,0.80881,0.98995,0.98407,0.98634,0.88349,0.98995,0.98407,0.98634,0.72958,0.51631,0.57864,0.36212,0.79855,0.000679204,0.000679204,0.000679204
108,167.846,0.62182,0.70393,0.39813,0.82189,0.98911,0.9851,0.98528,0.87456,0.98911,0.9851,0.98528,0.71932,0.5272,0.62648,0.37487,0.79864,0.00067213,0.00067213,0.00067213
109,169.42,0.59331,0.6919,0.38284,0.80723,0.98911,0.9851,0.98528,0.87456,0.98911,0.9851,0.98528,0.71932,0.5272,0.62648,0.37487,0.79864,0.000665057,0.000665057,0.000665057
110,170.967,0.62042,0.68524,0.38882,0.82057,0.98936,0.98582,0.98548,0.87551,0.98936,0.98582,0.98548,0.71422,0.54591,0.59296,0.37449,0.80004,0.000657983,0.000657983,0.000657983
111,172.507,0.62298,0.71994,0.38174,0.80893,0.98732,0.98582,0.98682,0.87304,0.98732,0.98582,0.98682,0.72286,0.53394,0.57125,0.37243,0.80008,0.000650909,0.000650909,0.000650909
112,174.035,0.5829,0.67062,0.36924,0.81515,0.98535,0.98582,0.98831,0.88465,0.98535,0.98582,0.98831,0.72534,0.51202,0.5557,0.35833,0.79745,0.000643836,0.000643836,0.000643836
113,175.613,0.58905,0.69998,0.3738,0.80528,0.98535,0.98582,0.98831,0.88465,0.98535,0.98582,0.98831,0.72534,0.51202,0.5557,0.35833,0.79745,0.000636762,0.000636762,0.000636762
114,177.242,0.62036,0.68294,0.37714,0.80878,0.98849,0.98582,0.98977,0.8797,0.98849,0.98582,0.98977,0.7218,0.54404,0.65406,0.36382,0.79916,0.000629689,0.000629689,0.000629689
115,178.764,0.71363,0.81808,0.40023,0.83511,0.98964,0.98582,0.9908,0.88168,0.98964,0.98582,0.9908,0.71719,0.52939,0.65721,0.36635,0.79757,0.000622615,0.000622615,0.000622615
116,180.363,0.66265,0.76914,0.39163,0.81818,0.98965,0.98582,0.99128,0.87725,0.98965,0.98582,0.99128,0.70778,0.52566,0.56177,0.35455,0.79627,0.000615542,0.000615542,0.000615542
117,181.945,0.60501,0.67357,0.38236,0.80245,0.98965,0.98582,0.99128,0.87725,0.98965,0.98582,0.99128,0.70778,0.52566,0.56177,0.35455,0.79627,0.000608468,0.000608468,0.000608468
118,183.444,0.59924,0.71842,0.37903,0.82149,0.98961,0.98582,0.99136,0.87138,0.98961,0.98582,0.99136,0.70841,0.54082,0.5794,0.34421,0.79879,0.000601395,0.000601395,0.000601395
119,184.993,0.61699,0.74981,0.37537,0.8154,0.98916,0.98582,0.99209,0.88747,0.98916,0.98582,0.99209,0.73801,0.48899,0.55502,0.3471,0.79508,0.000594321,0.000594321,0.000594321
120,186.539,0.56764,0.62813,0.36505,0.80771,0.98688,0.98582,0.99176,0.8826,0.98688,0.98582,0.99176,0.73651,0.53918,0.64215,0.36109,0.80125,0.000587248,0.000587248,0.000587248
121,188.05,0.56372,0.61136,0.36718,0.8092,0.98688,0.98582,0.99176,0.8826,0.98688,0.98582,0.99176,0.73651,0.53918,0.64215,0.36109,0.80125,0.000580174,0.000580174,0.000580174
122,189.587,0.53736,0.6043,0.3604,0.80235,0.98693,0.98582,0.99067,0.87821,0.98693,0.98582,0.99067,0.73597,0.52777,0.62392,0.35161,0.80115,0.0005731,0.0005731,0.0005731
123,191.124,0.58525,0.69138,0.37008,0.82186,0.98577,0.98582,0.99044,0.87778,0.98577,0.98582,0.99044,0.74072,0.51489,0.54469,0.33885,0.79988,0.000566027,0.000566027,0.000566027
124,192.623,0.5662,0.64135,0.36234,0.80841,0.98553,0.98582,0.98997,0.88178,0.98553,0.98582,0.98997,0.73917,0.52419,0.56212,0.3411,0.80058,0.000558953,0.000558953,0.000558953
125,194.175,0.58617,0.6264,0.36754,0.82092,0.98553,0.98582,0.98997,0.88178,0.98553,0.98582,0.98997,0.73917,0.52419,0.56212,0.3411,0.80058,0.00055188,0.00055188,0.00055188
126,195.75,0.57893,0.68397,0.37931,0.80199,0.98807,0.98582,0.98985,0.86346,0.98807,0.98582,0.98985,0.73919,0.58217,0.70569,0.35917,0.80578,0.000544806,0.000544806,0.000544806
127,197.337,0.5975,0.70167,0.37025,0.80815,0.98884,0.98582,0.98965,0.86291,0.98884,0.98582,0.98965,0.73537,0.58972,0.68926,0.35823,0.80525,0.000537733,0.000537733,0.000537733
128,198.924,0.57925,0.6564,0.37496,0.80721,0.98936,0.98582,0.98997,0.87924,0.98936,0.98582,0.98997,0.75012,0.52747,0.56236,0.34188,0.79818,0.000530659,0.000530659,0.000530659
